"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Channel Islands,73776,167,167,1,72350,291,1259,0,417358,945,1252808,7087261,176769,Europe,2,1058,0,945.0,6.0,7122.0
French Polynesia,72678,30,648,0,0,0,0,7,256041,2283,0,0,283853,Australia/Oceania,4,438,0,106.0,0.0,135739.0
Eswatini,70303,9,1397,0,68813,25,93,11,59481,1182,1013012,857071,1181946,Africa,17,846,1,8.0,0.0,79.0
Barbados,67934,323,390,1,64319,358,3225,0,235871,1354,642390,2230420,288013,North America,4,738,0,1121.0,3.0,11197.0
Fiji,64535,2,862,0,62690,6,983,0,71056,949,506984,558215,908224,Australia/Oceania,14,1054,2,2.0,0.0,1082.0
Madagascar,64152,0,1391,0,59370,0,3391,14,2214,48,422372,14574,28981167,Africa,452,20835,69,0.0,0.0,117.0
Guyana,63420,4,1228,0,62112,7,80,1,79931,1548,591338,745289,793434,South America,13,646,1,5.0,0.0,101.0
Sudan,62093,0,4930,0,0,0,0,0,1359,108,562941,12317,45704894,Africa,736,9271,81,0.0,0.0,368.0
Taiwan,61683,5218,856,0,24010,281,36817,0,2581,36,14343527,600275,23894942,Asia,387,27915,2,218.0,0.0,1541.0
New Caledonia,60421,0,312,0,60064,0,45,9,208008,1074,98964,340697,290475,Australia/Oceania,5,931,3,0.0,0.0,155.0
Mauritania,58685,2,982,0,57694,1,9,0,12047,202,800513,164338,4871149,Africa,83,4960,6,0.4,0.0,2.0
Bhutan,57909,138,20,0,54567,1487,3322,3,73581,25,2287623,2906712,787014,Asia,14,39351,0,175.0,0.0,4221.0
Belize,57454,35,676,0,56562,28,216,6,139888,1646,536698,1306744,410714,North America,7,608,1,85.0,0.0,526.0
Cabo Verde,56008,4,401,0,55541,3,66,23,98791,707,400982,707278,566937,Africa,10,1414,1,7.0,0.0,116.0
Syria,55799,2,3150,0,52111,10,538,0,3054,172,146269,8005,18271174,Asia,327,5800,125,0.1,0.0,29.0
Gabon,47597,0,303,0,47282,0,12,0,20508,131,1592483,686143,2320921,Africa,49,7660,1,0.0,0.0,5.0
Papua New Guinea,43732,0,649,0,43025,0,58,7,4726,70,249149,26923,9254257,Australia/Oceania,212,14259,37,0.0,0.0,6.0
Seychelles,42079,0,165,0,41260,0,654,0,423113,1659,0,0,99451,Africa,2,603,0,0.0,0.0,6576.0
Curaçao,41966,0,273,0,41251,0,442,3,253862,1651,496693,3004616,165310,North America,4,606,0,0.0,0.0,2674.0
Andorra,41013,0,153,0,40343,0,517,14,529275,1974,249838,3224174,77489,Europe,2,506,0,0.0,0.0,6672.0
Burundi,39144,0,38,0,773,0,38333,0,3123,3,345742,27588,12532506,Africa,320,329803,36,0.0,0.0,3059.0
Mauritius,37544,12,990,0,35738,82,816,0,29433,776,358675,281183,1275595,Africa,34,1288,4,9.0,0.0,640.0
Mayotte,37038,0,187,0,2964,0,33887,0,130074,657,176919,621324,284745,Africa,8,1523,2,0.0,0.0,119008.0
Togo,36979,2,273,0,36688,9,18,0,4285,32,728536,84415,8630398,Africa,233,31613,12,0.2,0.0,2.0
Guinea,36459,0,440,0,35976,0,43,8,2646,32,660107,47909,13778348,Africa,378,31314,21,0.0,0.0,3.0
Faeroe Islands,34658,0,28,0,7693,0,26937,5,704431,569,778000,15813008,49200,Europe,1,1757,0,0.0,0.0,547500.0
Aruba,34589,0,212,0,34251,0,126,2,321495,1970,177885,1653391,107588,North America,3,507,1,0.0,0.0,1171.0
Tanzania,33864,0,803,0,0,0,0,7,539,13,0,0,62817445,Africa,1855,78228,0,0.0,0.0,523.0
Bahamas,33488,5,789,0,32315,5,384,11,83708,1972,229817,574459,400058,North America,12,507,2,12.0,0.0,960.0
Lesotho,32910,0,697,0,24155,0,8058,0,15145,321,431221,198441,2173043,Africa,66,3118,5,0.0,0.0,3708.0
Mali,30752,12,731,0,29828,15,193,0,1443,34,664653,31193,21307810,Africa,693,29149,32,0.6,0.0,9.0
Haiti,30640,0,835,0,29389,0,416,0,2629,72,132422,11362,11654566,North America,380,13958,88,0.0,0.0,36.0
Isle of Man,28416,0,87,0,26794,0,1535,0,331000,1013,150753,1756025,85849,Europe,3,987,1,0.0,0.0,17880.0
Benin,26952,0,163,0,25506,0,1283,5,2122,13,604310,47588,12698671,Africa,471,77906,21,0.0,0.0,101.0
Somalia,26485,0,1350,0,13182,0,11953,0,1586,81,400466,23985,16696753,Africa,630,12368,42,0.0,0.0,716.0
Congo,24079,0,385,0,20178,0,3516,0,4177,67,347815,60340,5764250,Africa,239,14972,17,0.0,0.0,610.0
Saint Lucia,23285,46,368,0,22765,29,152,1,125764,1988,142871,771654,185149,North America,8,503,1,248.0,0.0,821.0
Timor-Leste,22860,0,130,0,22714,0,16,0,16760,95,261459,191690,1363967,Asia,60,10492,5,0.0,0.0,12.0
Cayman Islands,21755,0,26,0,8553,0,13176,1,324116,387,222773,3318976,67121,North America,3,2582,0,0.0,0.0,196302.0
Burkina Faso,20853,0,382,0,20439,0,32,0,950,17,248995,11348,21942002,Africa,1052,57440,88,0.0,0.0,1.0
Nicaragua,18491,0,225,0,4225,0,14041,0,2732,33,0,0,6767463,North America,366,30078,0,0.0,0.0,2075.0
Gibraltar,17706,0,102,0,16579,0,1025,0,525822,3029,534283,15866807,33673,Europe,2,330,0,0.0,0.0,30440.0
South Sudan,17443,21,138,0,13514,0,3791,1,1526,12,378620,33120,11431684,Africa,655,82838,30,2.0,0.0,332.0
Tajikistan,17388,0,124,0,17264,0,0,0,1752,12,0,0,9925932,Asia,571,80048,0,0.0,0.0,0.0
Liechtenstein,17105,2,85,0,16873,42,147,0,446303,2218,102174,2665919,38326,Europe,2,451,0,52.0,0.0,3836.0
San Marino,16186,46,114,0,15702,40,370,4,475220,3347,149271,4382590,34060,Europe,2,299,0,1351.0,0.0,10863.0
Equatorial Guinea,15907,0,183,0,15698,0,26,5,10701,123,310972,209198,1486499,Africa,93,8123,5,0.0,0.0,17.0
Djibouti,15611,0,189,0,15411,0,11,0,15395,186,303924,299713,1014049,Africa,65,5365,3,0.0,0.0,11.0
CAR,14649,0,113,0,6859,0,7677,2,2940,23,81294,16318,4982002,Africa,340,44089,61,0.0,0.0,1541.0
Grenada,14428,0,220,0,13945,0,263,4,127155,1939,148567,1309330,113468,North America,8,516,1,0.0,0.0,2318.0
Solomon Islands,14182,0,140,0,12763,0,1279,2,19768,195,5117,7133,717413,Australia/Oceania,51,5124,140,0.0,0.0,1783.0
Bermuda,13143,0,131,0,12719,0,293,0,212460,2118,866313,14004187,61861,North America,5,472,0,0.0,0.0,4736.0
Dominica,12011,0,63,0,11926,0,22,0,166104,871,187690,2595630,72310,North America,6,1148,0,0.0,0.0,304.0
Gambia,11995,0,365,0,11591,0,39,0,4723,144,155686,61301,2539702,Africa,212,6958,16,0.0,0.0,15.0
Greenland,11971,0,21,0,2761,0,9189,4,210206,369,164926,2896030,56949,North America,5,2712,0,0.0,0.0,161355.0
Yemen,11818,0,2149,0,9009,0,660,23,381,69,265253,8552,31016634,Asia,2625,14433,117,0.0,0.0,21.0
Monaco,11632,27,54,0,11464,68,114,4,292658,1359,54960,1382781,39746,Europe,3,736,1,679.0,0.0,2868.0
Saint Martin,10279,0,63,0,1399,0,8817,7,257871,1580,112382,2819347,39861,North America,4,633,0,0.0,0.0,221194.0
Sint Maarten,10018,16,86,0,9859,9,73,10,228936,1965,62056,1418131,43759,North America,4,509,1,366.0,0.0,1668.0
Tonga,9799,102,11,0,8427,121,1361,0,90843,102,408213,3784410,107867,Australia/Oceania,11,9806,0,946.0,0.0,12617.0
Eritrea,9733,0,103,0,9629,0,1,0,2677,28,23693,6517,3635414,Africa,374,35295,153,0.0,0.0,0.3
Caribbean Netherlands,9711,119,34,0,9579,187,98,0,364185,1275,30126,1129796,26665,North America,3,784,1,4463.0,0.0,3675.0
Niger,8916,2,309,0,8508,0,99,1,346,12,249437,9670,25794115,Africa,2893,83476,103,0.08,0.0,4.0
Guinea-Bissau,8186,1,171,0,7528,13,487,6,3989,83,133360,64981,2052305,Africa,251,12002,15,0.5,0.0,237.0
Comoros,8100,0,160,0,7933,0,7,0,8968,177,0,0,903178,Africa,112,5645,0,0.0,0.0,8.0
